"id","name","code","public_name","number","type","text","created_at","updated_at","video"
"36","Mercury","MER","Perceptive","1","Style","You naturally process all of the information that effects the management of your day by first seeing what is not working. Because this part of you is considered a processor as well as a home for behavior, it operates at lightning speed and is quick to deliver an outcome in terms of registering an opinion or suggestion. However, because it determines what is not working within a relationship environment first, you frequently assume the role of troubleshooter.  This requires your natural covert approach to business and life but can make you an easy target for criticism. You come across as mysterious and withholding at times. This attribute is great for keeping the troops calm until it is absolutely necessary for them to know. The impression of being sneaky and perhaps even deceptive may prevail but your nature is to make sure that all aspects of dis-ease are identified before sounding the alarm. This allows for pleasant surprises in business and in life with revolutionary displays of breaking news. Additionally, this mysterious and curious nature can be very alluring and attractive. It keeps the curious drawn to you.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Perceptive Trait.mp4"
"37","Willfullness","WIL","Perseverance","1","Feature","Perseverance is a motivating force for you. Performing Tasks fuels you. You have the persistence to complete almost any assignment despite numerous and sometimes seemingly insurmountable obstacles. This feature does not know the meaning of giving up and once you commit to something you will see it through to the end. Because of this tenacious persevering attitude, reliability surfaces as a supportive, consistent and virtuous by-product. Persistence is a desirable quality to have when assigning duties and responsibilities. This makes you an asset at work or to any employer. The challenge with this talent comes when you experience fatigue, addiction, or illness. When this happens stubborn behavior frequently follows. Digging in your heals, rejecting necessary change, or blocking new growth and becoming close minded are some examples of predictable responses. Your personal responsibility is to stay clear and on task by engaging in nurturing activities that promote rest and much deserved relaxation. This will permit you free sailing when it comes to completing assignments, staying on purpose while enhancing the lives of others.","2024-06-26 00:00:00","2024-06-26 00:00:00","Perseverance.mp4"
"38",,,"Polarity","1",,"Polarity represents your ""PERCEPTION"" of life and defines your electromagnetic potential. It is either positive, negative or neutral and demonstrates whether you find what is working or what is not working first in a situation or environment, or both simultaneously. All are good. It's just your personal approach. Each individual in your life has a set of 'glasses' through which they perceive every situation. Recognizing and understanding differences in another's perception of life provides a space for mutual respect. ","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"39",,,"Polarity Mostly Positive","1",,"You possess a POSITIVE polarity. This means magnetically you typically attract individuals that are more negatively polarized than yourself. They are drawn to you and vice versa. They will always see what is not working first where you see what is working first with quiet thoughts of the other in the back of your mind. You actually do well with those that are more negative than yourself as it compliments your existence and allows you to conserve valuable energy. However, too much of a negative pull can make you feel uncomfortable and even oxygen deprived. Take time to create and embrace life as a means of sustaining the integrity of your natural polarity.","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"40",,,"Polarity Negative","1",,"You possess a NEGATIVE polarity. This means magnetically you typically attract individuals that are slightly more positively polarized than yourself. They are drawn to you and vice versa. They will have a more neutral perception of an environment or situation where you will see what is not working first. You actually do well with those that are slightly more positively charged than yourself as it compliments your existence and allows you to conserve valuable energy. However, too much of a positive pull can exhaust you and leave you feeling depressed or overwhelmed.","2024-06-26 00:00:00","2024-06-26 00:00:00","Perception of LIfe - Negative.mp4"
"41",,,"Polarity Neutral","1",,"You possess a NEUTRAL polarity and this gives you the ability to see both what is working and what is not working concurrently in a situation or environment. This also means magnetically you attract individuals that are neutrally or slightly positively charged. The extra positive pull attracts them to you and vice versa. This is important to know. However, too much of a negative pull or a positive pull in either direction can make you feel uncomfortable and even disrespected. Just remember, because you are able to see both approaches, this may delay your decision making process.","2024-06-26 00:00:00","2024-06-26 00:00:00","Perception of Life - Neutral.mp4"
"42",,,"Polarity Positive","1",,"You possess a POSITIVE polarity. This means magnetically you typically attract individuals that are slightly more negatively polarized than yourself. They are drawn to you and vice versa. They may see what is not working first where you see what is working first in a situation or environment. You actually do well with those that are somewhat more negative than yourself as it compliments your existence and allows you to conserve valuable energy. However, too much of a negative pull can make you feel uncomfortable and even oxygen deprived. Take time to create and embrace life as a means of sustaining the integrity of your natural polarity.","2024-06-26 00:00:00","2024-06-26 00:00:00","Perception of Life - Positive.mp4"
"43","Saturn","SA","Regal","1","Style","You are a natural born leader and do not have to campaign for authority because people just naturally trust your abilities. Others turn to you for direction because they innately know you are competent. People listen to you with confidence. You are able to see the big picture in most circumstances and can arrive at a solution for the benefit of all concerned. This is an active, yet benevolent presence that naturally becomes you when you need to hold court or take on a more prominent role. Individuals with this natural trait make great leaders, directors, and authoritative figures. They are naturally seen by others as a necessary decision maker when reaching a consensus.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Regal Trait.mp4"
"44","Saturn","SA","Regal","2","Style","You possess a regal and majestic disposition that naturally makes you a leader. This noble quality gives you the ability to take charge of a situation without having to campaign for authority. It is extremely benevolent and reliable and inspires others to trust you and naturally look to you for direction. It also enables you to take on a panoramic perspective of life giving you the ability to size up the big picture and see whole situations in an instant. Because of this, you are able to set the standards and the tone for the benefit all concerned. You rarely act impulsively and convey a grand purposefulness in your manner. This trait is positive and active in its approach to life.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Regal Trait.mp4"
"45","Saturn","SA","Regal","1","Style","You are a natural born leader whose positive and benevolent presence exudes authority. This noble quality requires respect in order to achieve success. Your approachable manner helps you maintain that respect. This potential allows you to access a panoramic perspective of any environment enabling you to see whole situations in an instant. In addition, you are able to search for the most diplomatic solution for any moment's dilemma. Because of this you will rarely act impulsively. You are ponderous in your actions and convey a sense of purposefulness in your manner.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Regal Trait.mp4"
"46","Saturn","SA","Regal","2","Style","You are a natural born leader. There is a majestic quality in you that requires respect and purpose. This is a serene and benevolent presence that naturally becomes you when you need to hold court or take on a more prominent role. This majestic characteristic often presents you with permission to proceed where others might have to prove themselves several times over before inspiring others to trust them. It has others seeing you as a necessary decision maker when reaching a consensus. You are able to see the 'big' picture in most circumstances and able to fashion a solution for the benefit of all concerned. People listen to you. You naturally take on responsibility while holding a positive outcome in mind.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Regal Trait.mp4"
"47","Lunar","LU","Romantic","1","Style","There is a part of you that is quiet and very passive in nature. At times you may come across as being depressed, nostalgic or melancholy when in truth you are just being yourself. You tend to revel in silence and serenity and have a reclusive side to you that often has you hiding your inner feelings. Regardless of the more adventurous aspects of yourself, this part often resists change and draws you to areas of solitude over public states; you can be quite monastic in nature. At the same time, you are extremely astute when it comes to appreciating beauty and the minutia of life that surrounds you. You have a great desire to become one with your surroundings.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Romantic Trait.mp4"
"48","Lunar","LU","Romantic","2","Style","You are passive and gentle in your presentation. This is a very devoted and loyal aspect of your nature. Typically non-confrontational, you tend to regard arguing as a waste of time, seldom blow up and are somewhat resistant to change. At the same time, you are incredibly reliable and will work long hours without complaint. You also enjoy being alone at times and go inward for relaxation purposes while enjoying the silence and serenity. You have a great desire for an intimate rapport with your surroundings and you will seek out those environments that make you feel safe and secure. Because of this you are often drawn to areas of solitude over public states and tend to be very monastic in nature.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Romantic Trait.mp4"
"49","Silver","S","Silver","1","Alchemy","Your test results revealed that you have a SILVER level of refinement. Since alchemy is the main player in relationships, if one's alchemy is too high it can be quite intolerant of others. This is frequently helpful to know in selecting partners, jobs and places to live. The more Silver you have the easier it is to be flexible and tolerant of those around you. Silvers are the easiest to get along with and can move in any environment. By virtue they have an wider compatibility range. Silvers can walk away from a messy room, are a little more flexible and make friends easily! Golds are a little more meticulous and inflexible. Unlike yourself, they would take issue with the little annoyances that come with kids, messes and things left lying about. A Copper on the other hand actually thrives more in a disheveled environment and even requires it. Both Gold and Copper can be tolerated by you. However, they cannot tolerate one another. Silvers are not messy but many have organized piles. In addition, you are quite versatile in terms of being able to infiltrate any environment. This means you can go just about anywhere in the world. This is ultimately the ideal alchemy to have in our world today. You will be able to share your gifts with a much larger demographic, have more friends, and be welcome more places than any other refinement level on the planet. The world is essentially at your disposal. This is wonderful but it can create difficulty when there are so many choices. This part of you makes you very accepting of others while in the case of other alchemical combinations it can be the very reason we misjudge others.","2024-06-26 00:00:00","2024-06-26 00:00:00","Silver Alchemy.mp4"
"50","Silver","SC","Silver-Copper","1","Alchemy","Your test results revealed that you have a SILVER/COPPER level of refinement. Since alchemy is the main player in relationships, if one's alchemy is too high it can be quite intolerant of others. This is frequently helpful to know in selecting partners, jobs and places to live. The more Silver you have the easier it is to have tolerance for those around us. Silvers are the easiest to get along with and can move in any environment. By virtue they have a wider compatibility range. Silvers can walk away from a messy room, are a little more flexible and make friends easily! Golds are a little more meticulous and inflexible and cannot tolerate a Copper preference at all. They often take issue with the little annoyances that come with kids, messes and things left laying about. A Silver/Copper on the other hand actually tolerates these types of environmental occurrences quite well. They are not repulsed by getting their hands dirty, creating rustic environments or eating things that exceed an organic interpretation. Silver/Coppers usually live in areas that share a relaxed and in some cases, a rural approach to life. They can tolerate quite a bit but do not do well living in areas that have too much Gold. They can however, visit or vacation in these areas for a very short period of time. Both high Silver and low Copper can be tolerated by you. Silvers are not messy but many have organized piles. A Silver/Copper will let the piles lay about and accumulate and rarely feel the need to remove them from sight if company were to arrive. Like the solid Silver you have a much wider spectrum of friends. But, like the Copper, you may have a tendency to be criticized for your lack of urgency or attention to detail when it comes to being tidy and organized. Because your presentation does quite well in both high Silver arenas and low copper venues you have many choices as well as much to see and participate in during your lifetime. Traveling to under developed countries and living among the natives comes natural to you, as long as it is only temporary. You can tolerate smells and the lack of creature comforts quite well. Silver/Coppers and Golds frequently misjudge one another. Be considerate of the alchemy of others as it is often the very reason we misjudge.","2024-06-26 00:00:00","2024-06-26 00:00:00","Silver-Copper Alchemy.mp4"
"51","Silver","SG","Silver-Gold","1","Alchemy","Your test results revealed that you have a SILVER/GOLD level of refinement. Since alchemy is the main player in relationships, if one's alchemy is too high it can be quite intolerant of others. This is frequently helpful to know in selecting partners, jobs and places to live. The more silver you have the easier it is to have tolerance for those around us. Silvers are the easiest to get along with and can move in any environment. By virtue they have a wider compatibility range. Silvers can walk away from a messy room, are a little more flexible and make friends easily! Golds are a little more meticulous and inflexible. They often take issue with the little annoyances that come with kids, messes and things left laying about. A Silver/Gold on the other hand actually tolerates these types of environmental occurrences quite well simply because of the Silver factor. Silver/ Golds usually live in areas that share a relaxed yet refined approach to life. They can tolerate quite a bit but do not do well living in areas that are too Copper. They can however, visit or vacation in these areas for a short period of time. Both Gold and some Copper can be tolerated by you. However, they cannot tolerate one another. Silvers are not messy but many have organized piles. A Silver/Gold will not let the piles lay about too long and will definitely remove them from sight if company were to arrive. Like the solid Silver you have a much wider spectrum of friends. But, like the Gold, you may have a tendency to voice judgment where nature simply exists. Your presentation does quite well in both high Gold arenas and low Silver venues. This means you have many choices as well as much to see and participate in during your lifetime. Be considerate of the alchemy of others as it is often the very reason we misjudge.","2024-06-26 00:00:00","2024-06-26 00:00:00","Silver-Gold Alchemy.mp4"
"52",,,"Styles","1",,"Styles are your natural physical ""TRAITS"" that determine how nature shows up in you. These traits assist in providing unique insight into a person's capabilities and natural talents.","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"53","Venusian","VEN","Sympathetic","2","Style","This is the more passive part of you that offers a very positive perspective, sending a signal that everything is going to be okay. In matters of managing a crisis, be it at the office or at home, you are often the calm in the storm. You have a nurturing quality and a genuine presentation of concern for others. People feel this when in your company because it is authentic. This is one of the many things people like about you. You are very relaxed and inviting and adapt easily to new environments. This allows you to produce a response of acceptance in any situation allowing you to become whatever you need to be to be successful. To embrace the natural talents of this trait, you must recharge midday with a brief power nap or longer if possible. Organize your schedule at work or while traveling to accommodate this. Whole countries with this same trait are known to shut down between 2 and 5 p.m. Don't go without.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Sympathetic Trait.mp4"
"54","Venusian","VEN","Sympathetic","1","Style","You are very relaxed and inviting. Often referred to as the ""sexy"" quality, this trait has a sensual disposition. This is a passive quality that may be misinterpreted as being ""lazy"" versus ""relaxed"". The significance of this laid back demonstration often sends a purposeful signal that everything is going to be okay. In matters of managing a crisis, be it at the office or at home, you are often the calm in the storm. This aspect of your physicality has a nurturing quality and a genuine presentation of concern for others. People feel this when in your company because it is authentic. This is one of the many things people like about you. To embrace the natural talents of this trait, you must recharge midday with a brief power nap or longer if possible. Organize your schedule at work or while traveling to accommodate this. Whole countries with this same trait are known to shut down between 2 and 5 p.m. Don't go without.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Sympathetic Trait.mp4"
"55","Tramp","TRA","The Traveler","1","Feature","The TRAVELER is a motivating force for you. This feature represents a unique free spirit. It relishes new experiences and welcomes the unpredictable. Realizing the term invokes many thoughts and ideas with regards to reliability, it's necessary to recognize that this very charming feature embraces many things but commits to few. You are easily convinced to go in other directions and are drawn to adventure. The company gold watch and living in the house you grew up in often falls short of your natural desires. You thrive by seeking new innovative and explorative opportunities. Everything that you do must be ever changing. Dining at a variety of places, indulging in different types of pursuits, and traveling about freely is very important. When this feature marries or is in a monogamous relationship it is important that variety be present in terms of physical engagement. Repetition and predictable activities will rob you of necessary energy thus leaving you no choice but to seek vitality elsewhere.","2024-06-26 00:00:00","2024-06-26 00:00:00","Traveler.mp4"
"56","Lunatic","LUN","Visionary","1","Feature","Entertaining the VISION motivates you. With a visionary's perspective... expect the unexpected. This simply means that you love spontaneity and embrace surprises. You are creative, colorful and have many different expressions. Though at times this feature may be misunderstood, you are able to easily think outside the box which allows for startlingly original ideas bordering on genius. This is a visionary's feature. This intelligent foresight often demonstrates itself involuntarily in various ways. It frequently conducts itself in extremes displaying great joy or great sadness. Authentic performance serves as a catalyst for personal gifts to appear. The purposefulness that arises out of this driving feature is that it also has the capacity to expose the inadequacies in others and thus challenges their comfort zones. This is not necessarily an undesirable outcome as it initiates growth for everyone.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Visionary.mp4"
